reader_proportion,average_time
0,10.3
1,8.96
2,8.84
3,8.54
4,8.44
5,8.4
6,8.64
7,8.6
8,8.54
9,8.26
10,8.44
11,8.4
12,8.38
13,8.58
14,8.48
15,8.7
16,8.48
17,8.4
18,8.5
19,8.62
20,8.56
21,8.52
22,8.56
23,8.46
24,8.48
25,8.48
26,8.46
27,8.32
28,8.56
29,8.56
30,8.46
31,8.48
32,8.46
33,8.6
34,8.54
35,8.46
36,8.52
37,8.58
38,8.56
39,8.58
40,8.6
41,8.66
42,8.58
43,8.54
44,8.54
45,8.4
46,9.08
47,5.98
48,7.82
49,9.56
50,8.72
51,8.84
52,8.52
53,8.44
54,8.56
55,8.6
56,8.54
57,8.52
58,8.6
59,8.66
60,8.9
61,8.48
62,9.82
63,12.88
64,13.2
65,8.28
66,12.34
67,8.28
68,20.12
69,23.36
70,8.82
71,8.54
72,8.64
73,8.36
74,8.16
75,8.42
76,8.18
77,8.38
78,8.32
79,8.62
80,8.2
81,8.3
82,11.24
83,9.4
84,9.46
85,12.24
86,8.56
87,8.36
88,8.48
89,8.66
90,9.72
91,8.92
92,9.44
93,9.92
94,9.44
95,9.06
96,8.5
97,8.44
98,8.58
99,8.8
100,8.48
